6	5	0.00
5	5	0.00
4	5	0.00
3	5	0.00
2	5	0.00
9	5	0.20
1	5	0.00
11	5	100.00
12	5	100.00
10	5	100.00
8	5	0.00
7	5	0.00
6	6	0.00
5	6	0.00
4	6	0.00
3	6	0.00
2	6	0.00
1	6	0.00
9	6	0.20
11	6	100.00
12	6	100.00
10	6	100.00
8	6	0.00
7	6	0.00
6	7	0.00
5	7	0.00
4	7	0.00
3	7	0.00
2	7	0.00
1	7	0.00
9	7	0.00
11	7	100.00
12	7	100.00
8	7	0.00
10	7	38.10
7	7	0.00
6	8	0.00
5	8	0.00
4	8	0.00
3	8	0.00
2	8	0.00
9	8	0.00
1	8	0.00
11	8	100.00
8	8	0.00
10	8	5.30
12	8	100.00
7	8	0.00
6	9	0.00
5	9	0.00
4	9	0.00
3	9	0.00
2	9	0.00
9	9	0.00
1	9	0.00
8	9	0.00
10	9	0.10
11	9	100.00
12	9	100.00
7	9	0.00
6	10	0.00
5	10	0.00
4	10	0.00
3	10	0.00
2	10	0.00
9	10	0.00
1	10	0.00
10	10	0.10
8	10	0.00
11	10	94.90
12	10	100.00
7	10	0.00
6	11	0.00
5	11	0.00
4	11	0.00
3	11	0.00
2	11	0.00
9	11	0.00
1	11	0.00
10	11	0.00
11	11	72.90
8	11	0.00
12	11	100.00
7	11	0.00
6	12	0.00
5	12	0.00
4	12	0.00
3	12	0.00
2	12	0.00
9	12	0.00
1	12	0.00
10	12	0.00
11	12	45.80
8	12	0.00
12	12	100.00
7	12	0.00
6	13	0.00
5	13	0.00
4	13	0.00
3	13	0.00
2	13	0.00
9	13	0.00
1	13	0.00
10	13	0.00
11	13	23.40
8	13	0.00
12	13	100.00
7	13	0.00
6	14	0.00
5	14	0.00
4	14	0.00
3	14	0.00
2	14	0.00
9	14	0.00
1	14	0.00
10	14	0.00
11	14	12.90
8	14	0.00
12	14	100.00
7	14	0.00
6	15	0.00
5	15	0.00
4	15	0.00
3	15	0.00
2	15	0.00
9	15	0.00
1	15	0.00
10	15	0.00
11	15	5.50
8	15	0.00
12	15	100.00
7	15	0.00
