CDL-A	6	5	0.10
CDL-A	5	5	0.00
CDL-A	4	5	0.20
CDL-A	3	5	0.00
CDL-A	2	5	0.00
CDL-A	12	5	0.30
CDL-A	11	5	0.30
CDL-A	10	5	0.10
CDL-A	9	5	0.20
CDL-A	1	5	0.00
CDL-A	8	5	0.30
CDL-A	7	5	0.10
CDL-A	6	6	59.10
CDL-A	5	6	57.20
CDL-A	4	6	26.70
CDL-A	3	6	1.30
CDL-A	2	6	0.00
CDL-A	11	6	56.60
CDL-A	12	6	57.80
CDL-A	9	6	57.50
CDL-A	10	6	59.00
CDL-A	1	6	0.00
CDL-A	8	6	61.50
CDL-A	7	6	58.90
CDL-A	5	7	47.60
CDL-A	6	7	58.30
CDL-A	4	7	0.90
CDL-A	3	7	0.00
CDL-A	2	7	0.00
CDL-A	1	7	0.00
CDL-A	9	7	100.00
CDL-A	11	7	99.90
CDL-A	10	7	99.90
CDL-A	12	7	99.60
CDL-A	8	7	100.00
CDL-A	7	7	100.00
CDL-A	5	8	3.20
CDL-A	6	8	2.60
CDL-A	4	8	0.00
CDL-A	3	8	0.00
CDL-A	2	8	0.00
CDL-A	1	8	0.00
CDL-A	9	8	100.00
CDL-A	11	8	100.00
CDL-A	10	8	100.00
CDL-A	12	8	100.00
CDL-A	8	8	100.00
CDL-A	7	8	99.80
CDL-A	6	9	0.10
CDL-A	5	9	0.00
CDL-A	4	9	0.00
CDL-A	3	9	0.00
CDL-A	2	9	0.00
CDL-A	1	9	0.00
CDL-A	9	9	100.00
CDL-A	11	9	100.00
CDL-A	10	9	100.00
CDL-A	12	9	100.00
CDL-A	8	9	100.00
CDL-A	7	9	45.50
CDL-A	6	10	0.00
CDL-A	5	10	0.00
CDL-A	4	10	0.00
CDL-A	3	10	0.00
CDL-A	2	10	0.00
CDL-A	1	10	0.00
CDL-A	9	10	100.00
CDL-A	11	10	100.00
CDL-A	10	10	100.00
CDL-A	8	10	99.90
CDL-A	12	10	100.00
CDL-A	7	10	2.10
CDL-A	6	11	0.00
CDL-A	5	11	0.00
CDL-A	4	11	0.00
CDL-A	3	11	0.00
CDL-A	2	11	0.00
CDL-A	1	11	0.00
CDL-A	9	11	99.30
CDL-A	8	11	45.20
CDL-A	11	11	100.00
CDL-A	10	11	100.00
CDL-A	12	11	100.00
CDL-A	7	11	0.00
CDL-A	6	12	0.00
CDL-A	5	12	0.00
CDL-A	4	12	0.00
CDL-A	3	12	0.00
CDL-A	2	12	0.00
CDL-A	9	12	46.00
CDL-A	1	12	0.00
CDL-A	8	12	2.20
CDL-A	11	12	100.00
CDL-A	12	12	100.00
CDL-A	10	12	100.00
CDL-A	7	12	0.00
CDL-A	6	13	0.00
CDL-A	5	13	0.00
CDL-A	4	13	0.00
CDL-A	3	13	0.00
CDL-A	2	13	0.00
CDL-A	9	13	2.00
CDL-A	1	13	0.00
CDL-A	8	13	0.00
CDL-A	11	13	100.00
CDL-A	12	13	100.00
CDL-A	10	13	100.00
CDL-A	7	13	0.00
CDL-A	6	14	0.00
CDL-A	5	14	0.00
CDL-A	4	14	0.00
CDL-A	3	14	0.00
CDL-A	2	14	0.00
CDL-A	9	14	0.10
CDL-A	1	14	0.00
CDL-A	8	14	0.00
CDL-A	10	14	100.00
CDL-A	11	14	100.00
CDL-A	12	14	100.00
CDL-A	7	14	0.00
CDL-A	6	15	0.00
CDL-A	4	15	0.00
CDL-A	5	15	0.00
CDL-A	3	15	0.00
CDL-A	2	15	0.00
CDL-A	9	15	0.00
CDL-A	1	15	0.00
CDL-A	10	15	98.10
CDL-A	8	15	0.00
CDL-A	12	15	100.00
CDL-A	11	15	100.00
CDL-A	7	15	0.00
CDL-B	6	5	0.00
CDL-B	5	5	0.00
CDL-B	4	5	0.00
CDL-B	3	5	0.00
CDL-B	2	5	0.00
CDL-B	12	5	0.00
CDL-B	11	5	0.00
CDL-B	10	5	0.00
CDL-B	9	5	0.00
CDL-B	1	5	0.00
CDL-B	8	5	0.00
CDL-B	7	5	0.00
CDL-B	6	6	11.30
CDL-B	5	6	10.50
CDL-B	4	6	12.20
CDL-B	3	6	11.70
CDL-B	2	6	10.50
CDL-B	12	6	11.70
CDL-B	11	6	8.50
CDL-B	10	6	12.80
CDL-B	9	6	9.70
CDL-B	1	6	8.70
CDL-B	8	6	11.00
CDL-B	7	6	10.30
CDL-B	5	7	96.10
CDL-B	4	7	95.70
CDL-B	6	7	97.20
CDL-B	3	7	96.60
CDL-B	2	7	96.20
CDL-B	1	7	86.90
CDL-B	9	7	96.30
CDL-B	11	7	96.60
CDL-B	10	7	96.30
CDL-B	12	7	96.50
CDL-B	8	7	95.90
CDL-B	7	7	97.50
CDL-B	5	8	100.00
CDL-B	4	8	100.00
CDL-B	6	8	100.00
CDL-B	3	8	100.00
CDL-B	2	8	100.00
CDL-B	1	8	92.80
CDL-B	9	8	100.00
CDL-B	11	8	100.00
CDL-B	8	8	100.00
CDL-B	10	8	100.00
CDL-B	12	8	100.00
CDL-B	7	8	100.00
CDL-B	5	9	100.00
CDL-B	4	9	100.00
CDL-B	6	9	100.00
CDL-B	3	9	100.00
CDL-B	2	9	100.00
CDL-B	1	9	95.50
CDL-B	9	9	100.00
CDL-B	11	9	100.00
CDL-B	8	9	100.00
CDL-B	10	9	100.00
CDL-B	12	9	100.00
CDL-B	7	9	100.00
CDL-B	5	10	100.00
CDL-B	4	10	100.00
CDL-B	6	10	100.00
CDL-B	3	10	100.00
CDL-B	2	10	100.00
CDL-B	1	10	96.70
CDL-B	9	10	100.00
CDL-B	11	10	100.00
CDL-B	10	10	100.00
CDL-B	8	10	100.00
CDL-B	12	10	100.00
CDL-B	7	10	100.00
CDL-B	5	11	100.00
CDL-B	4	11	100.00
CDL-B	6	11	100.00
CDL-B	3	11	100.00
CDL-B	2	11	100.00
CDL-B	1	11	98.90
CDL-B	9	11	100.00
CDL-B	11	11	100.00
CDL-B	8	11	100.00
CDL-B	10	11	100.00
CDL-B	12	11	100.00
CDL-B	7	11	100.00
CDL-B	5	12	100.00
CDL-B	4	12	100.00
CDL-B	6	12	100.00
CDL-B	3	12	100.00
CDL-B	2	12	100.00
CDL-B	1	12	99.90
CDL-B	9	12	100.00
CDL-B	11	12	100.00
CDL-B	8	12	100.00
CDL-B	10	12	100.00
CDL-B	12	12	100.00
CDL-B	7	12	100.00
CDL-B	5	13	100.00
CDL-B	4	13	100.00
CDL-B	6	13	100.00
CDL-B	3	13	100.00
CDL-B	2	13	100.00
CDL-B	1	13	100.00
CDL-B	9	13	100.00
CDL-B	11	13	100.00
CDL-B	8	13	100.00
CDL-B	10	13	100.00
CDL-B	12	13	100.00
CDL-B	7	13	100.00
CDL-B	5	14	100.00
CDL-B	4	14	100.00
CDL-B	6	14	100.00
CDL-B	3	14	100.00
CDL-B	2	14	100.00
CDL-B	1	14	100.00
CDL-B	9	14	100.00
CDL-B	11	14	100.00
CDL-B	8	14	100.00
CDL-B	10	14	100.00
CDL-B	12	14	100.00
CDL-B	7	14	100.00
CDL-B	5	15	100.00
CDL-B	6	15	100.00
CDL-B	4	15	100.00
CDL-B	3	15	100.00
CDL-B	2	15	100.00
CDL-B	1	15	100.00
CDL-B	9	15	100.00
CDL-B	11	15	100.00
CDL-B	8	15	100.00
CDL-B	10	15	100.00
CDL-B	12	15	100.00
CDL-B	7	15	100.00
CDL-C	5	5	100.00
CDL-C	6	5	100.00
CDL-C	4	5	100.00
CDL-C	3	5	100.00
CDL-C	2	5	93.50
CDL-C	1	5	0.00
CDL-C	9	5	100.00
CDL-C	11	5	100.00
CDL-C	12	5	100.00
CDL-C	10	5	100.00
CDL-C	8	5	100.00
CDL-C	7	5	100.00
CDL-C	5	6	100.00
CDL-C	6	6	100.00
CDL-C	4	6	100.00
CDL-C	3	6	100.00
CDL-C	2	6	95.50
CDL-C	1	6	0.00
CDL-C	9	6	100.00
CDL-C	11	6	100.00
CDL-C	12	6	100.00
CDL-C	10	6	100.00
CDL-C	8	6	100.00
CDL-C	7	6	100.00
CDL-C	5	7	100.00
CDL-C	6	7	100.00
CDL-C	4	7	100.00
CDL-C	3	7	100.00
CDL-C	2	7	98.10
CDL-C	1	7	0.00
CDL-C	9	7	100.00
CDL-C	11	7	100.00
CDL-C	10	7	100.00
CDL-C	12	7	100.00
CDL-C	8	7	100.00
CDL-C	7	7	100.00
CDL-C	5	8	100.00
CDL-C	6	8	100.00
CDL-C	4	8	100.00
CDL-C	3	8	100.00
CDL-C	2	8	99.70
CDL-C	1	8	0.30
CDL-C	9	8	100.00
CDL-C	11	8	100.00
CDL-C	10	8	100.00
CDL-C	12	8	100.00
CDL-C	8	8	100.00
CDL-C	7	8	100.00
CDL-C	5	9	100.00
CDL-C	6	9	100.00
CDL-C	4	9	100.00
CDL-C	3	9	100.00
CDL-C	2	9	100.00
CDL-C	1	9	4.30
CDL-C	9	9	100.00
CDL-C	11	9	100.00
CDL-C	10	9	100.00
CDL-C	12	9	100.00
CDL-C	8	9	100.00
CDL-C	7	9	100.00
CDL-C	5	10	100.00
CDL-C	6	10	100.00
CDL-C	4	10	100.00
CDL-C	3	10	100.00
CDL-C	2	10	100.00
CDL-C	1	10	28.80
CDL-C	9	10	100.00
CDL-C	11	10	100.00
CDL-C	10	10	100.00
CDL-C	8	10	100.00
CDL-C	12	10	100.00
CDL-C	7	10	100.00
CDL-C	5	11	100.00
CDL-C	6	11	100.00
CDL-C	4	11	100.00
CDL-C	3	11	100.00
CDL-C	2	11	100.00
CDL-C	1	11	86.20
CDL-C	9	11	100.00
CDL-C	11	11	100.00
CDL-C	10	11	100.00
CDL-C	12	11	100.00
CDL-C	8	11	100.00
CDL-C	7	11	100.00
CDL-C	5	12	100.00
CDL-C	6	12	100.00
CDL-C	4	12	100.00
CDL-C	3	12	100.00
CDL-C	2	12	100.00
CDL-C	1	12	100.00
CDL-C	9	12	100.00
CDL-C	11	12	100.00
CDL-C	10	12	100.00
CDL-C	12	12	100.00
CDL-C	8	12	100.00
CDL-C	7	12	100.00
CDL-C	5	13	100.00
CDL-C	6	13	100.00
CDL-C	4	13	100.00
CDL-C	3	13	100.00
CDL-C	2	13	100.00
CDL-C	1	13	100.00
CDL-C	9	13	100.00
CDL-C	11	13	100.00
CDL-C	10	13	100.00
CDL-C	12	13	100.00
CDL-C	8	13	100.00
CDL-C	7	13	100.00
CDL-C	5	14	100.00
CDL-C	6	14	100.00
CDL-C	4	14	100.00
CDL-C	3	14	100.00
CDL-C	2	14	100.00
CDL-C	1	14	100.00
CDL-C	9	14	100.00
CDL-C	11	14	100.00
CDL-C	12	14	100.00
CDL-C	10	14	100.00
CDL-C	8	14	100.00
CDL-C	7	14	100.00
CDL-C	5	15	100.00
CDL-C	6	15	100.00
CDL-C	4	15	100.00
CDL-C	3	15	100.00
CDL-C	2	15	100.00
CDL-C	1	15	100.00
CDL-C	9	15	100.00
CDL-C	11	15	100.00
CDL-C	12	15	100.00
CDL-C	10	15	100.00
CDL-C	8	15	100.00
CDL-C	7	15	100.00
CDL-D	6	5	0.00
CDL-D	5	5	0.00
CDL-D	4	5	0.00
CDL-D	3	5	0.00
CDL-D	2	5	0.00
CDL-D	1	5	0.00
CDL-D	9	5	1.20
CDL-D	11	5	100.00
CDL-D	12	5	100.00
CDL-D	10	5	100.00
CDL-D	8	5	0.00
CDL-D	7	5	0.00
CDL-D	6	6	0.00
CDL-D	5	6	0.00
CDL-D	4	6	0.00
CDL-D	3	6	0.00
CDL-D	2	6	0.00
CDL-D	1	6	0.00
CDL-D	9	6	0.00
CDL-D	11	6	100.00
CDL-D	12	6	100.00
CDL-D	8	6	0.00
CDL-D	10	6	100.00
CDL-D	7	6	0.00
CDL-D	6	7	0.00
CDL-D	5	7	0.00
CDL-D	4	7	0.00
CDL-D	3	7	0.00
CDL-D	2	7	0.00
CDL-D	1	7	0.00
CDL-D	9	7	0.00
CDL-D	12	7	100.00
CDL-D	8	7	0.00
CDL-D	11	7	100.00
CDL-D	10	7	12.00
CDL-D	7	7	0.00
CDL-D	6	8	0.00
CDL-D	5	8	0.00
CDL-D	4	8	0.00
CDL-D	3	8	0.00
CDL-D	2	8	0.00
CDL-D	9	8	0.00
CDL-D	1	8	0.00
CDL-D	8	8	0.00
CDL-D	11	8	99.50
CDL-D	10	8	0.20
CDL-D	12	8	100.00
CDL-D	7	8	0.00
CDL-D	6	9	0.00
CDL-D	5	9	0.00
CDL-D	4	9	0.00
CDL-D	3	9	0.00
CDL-D	2	9	0.00
CDL-D	9	9	0.00
CDL-D	1	9	0.00
CDL-D	10	9	0.00
CDL-D	11	9	8.80
CDL-D	8	9	0.00
CDL-D	12	9	100.00
CDL-D	7	9	0.00
CDL-D	6	10	0.00
CDL-D	5	10	0.00
CDL-D	4	10	0.00
CDL-D	3	10	0.00
CDL-D	2	10	0.00
CDL-D	9	10	0.00
CDL-D	1	10	0.00
CDL-D	10	10	0.00
CDL-D	11	10	0.30
CDL-D	8	10	0.00
