6	5	0.00
5	5	0.00
4	5	0.00
3	5	0.00
2	5	0.00
12	5	0.00
10	5	0.00
11	5	0.00
9	5	0.00
1	5	0.00
8	5	0.00
7	5	0.00
6	6	0.00
5	6	0.00
4	6	0.00
3	6	0.00
2	6	0.00
12	6	0.00
11	6	0.00
10	6	0.00
9	6	0.00
1	6	0.00
8	6	0.00
7	6	0.00
6	7	0.10
5	7	0.00
4	7	0.00
3	7	0.00
2	7	0.00
12	7	0.00
11	7	0.00
10	7	0.00
9	7	0.00
1	7	0.00
8	7	0.00
7	7	0.00
6	8	18.70
5	8	20.90
4	8	18.70
3	8	13.60
2	8	0.00
12	8	19.10
11	8	18.50
10	8	19.90
9	8	19.10
1	8	0.00
8	8	21.40
7	8	20.30
5	9	98.40
4	9	98.20
3	9	1.30
6	9	95.20
2	9	0.00
1	9	0.00
9	9	98.70
8	9	98.30
11	9	99.00
10	9	98.70
12	9	98.80
7	9	98.40
5	10	95.60
4	10	19.50
3	10	0.00
6	10	17.90
2	10	0.00
1	10	0.00
9	10	100.00
8	10	100.00
11	10	100.00
10	10	100.00
12	10	100.00
7	10	100.00
5	11	12.00
4	11	0.10
3	11	0.00
6	11	0.30
2	11	0.00
1	11	0.00
9	11	100.00
8	11	100.00
11	11	100.00
10	11	100.00
12	11	100.00
7	11	83.50
5	12	0.40
4	12	0.00
6	12	0.10
3	12	0.00
2	12	0.00
1	12	0.00
9	12	100.00
8	12	100.00
11	12	100.00
10	12	100.00
12	12	100.00
7	12	5.50
5	13	0.00
4	13	0.00
6	13	0.00
3	13	0.00
2	13	0.00
1	13	0.00
9	13	99.90
8	13	62.20
11	13	100.00
10	13	100.00
12	13	100.00
7	13	0.00
5	14	0.00
4	14	0.00
6	14	0.10
3	14	0.00
2	14	0.00
1	14	0.00
9	14	49.50
8	14	1.90
11	14	100.00
10	14	100.00
12	14	100.00
7	14	0.00
5	15	0.10
4	15	0.00
6	15	0.00
3	15	0.00
2	15	0.00
1	15	0.00
9	15	3.10
8	15	0.00
11	15	100.00
10	15	100.00
12	15	100.00
7	15	0.00
